OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000099,Sample-Routine,Water,Surface Water,1990-01-04,09:45:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.99000243,Sample-Routine,Water,Surface Water,1990-01-03,16:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-04077400,HG RR W/10X DLTN;ORIG VALUE BAD,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,3.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001054,Sample-Routine,Water,Surface Water,1990-01-03,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05580500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001054,Sample-Routine,Water,Surface Water,1990-01-03,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05580500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000258,Sample-Routine,Water,Surface Water,1990-01-08,11:25:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01189030,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000258,Sample-Routine,Water,Surface Water,1990-01-08,11:25:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01189030,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,3.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000792,Sample-Routine,Water,Surface Water,1990-01-10,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05466500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000792,Sample-Routine,Water,Surface Water,1990-01-10,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05466500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99004291,Sample-Routine,Water,Surface Water,1990-01-03,11:50:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02146211,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,2,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000782,Sample-Routine,Water,Surface Water,1990-01-10,09:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05418950,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000782,Sample-Routine,Water,Surface Water,1990-01-10,09:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05418950,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000778,Sample-Routine,Water,Surface Water,1990-01-10,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05416000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000778,Sample-Routine,Water,Surface Water,1990-01-10,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05416000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000191,Sample-Routine,Water,Surface Water,1990-01-10,07:37:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12484500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000191,Sample-Routine,Water,Surface Water,1990-01-10,07:37:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12484500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Suspended,12,mg/kg,,Accepted,,Actual,Dry,,,,,,29836,,,,,,,,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.99000239,Sample-Composite Without Parents,Water,Surface Water,1990-01-04,00:20:00,CST,1990-01-04,01:04:59,CST,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-04087133,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,470,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000246,Sample-Routine,Water,Surface Water,1990-01-04,12:35:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-05570370,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000246,Sample-Routine,Water,Surface Water,1990-01-04,12:35:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-05570370,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99000100,Sample-Routine,Water,Surface Water,1990-01-09,13:30:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-321745106492510,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.99000312,Sample-Routine,Water,Surface Water,1990-01-09,10:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06470500,,,"Stable, low stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001264,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05592900,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001264,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05592900,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000749,Not determined,Water,Groundwater,1990-01-09,09:10:00,EST,,,,,,,,,,,,,USGS-405523078224702,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000329,Sample-Routine,Water,Surface Water,1990-01-10,15:31:00,CST,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),USGS - Illinois Water Science Center,USGS-05536995,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Suspended,330,mg/kg,,Historical,,Actual,Dry,,,,,,29836,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000137,Sample-Routine,Water,Surface Water,1990-01-05,09:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-303159091512300,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,O,USGS,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000137,Sample-Routine,Water,Surface Water,1990-01-05,09:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-303159091512300,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,O,USGS,,,,,,Lower Quantitation Limit,1.,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000255,Sample-Routine,Water,Surface Water,1990-01-08,09:40:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01186800,,,"Stable, normal stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000760,Sample-Routine,Water,Surface Water,1990-01-09,14:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03382090,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000760,Sample-Routine,Water,Surface Water,1990-01-09,14:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03382090,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-AR,USGS Arkansas Water Science Center,nwisar.01.99000740,Sample-Routine,Water,Surface Water,1990-01-10,10:20:00,CST,,,,100,feet,,,,,,,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS-07049690,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000127,Sample-Routine,Water,Surface Water,1990-01-10,10:45:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-384154090435401,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.99000815,Sample-Routine,Water,Surface Water,1990-01-09,15:15:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12331500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.99000815,Sample-Routine,Water,Surface Water,1990-01-09,15:15:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12331500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,7.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99000852,Sample-Routine,Water,Surface Water,1990-01-03,14:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429930,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001323,Sample-Routine,Water,Surface Water,1990-01-09,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05438600,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001323,Sample-Routine,Water,Surface Water,1990-01-09,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05438600,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.99000238,Sample-Routine,Water,Surface Water,1990-01-10,11:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01096550,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-KS,USGS Kansas Water Science Center,nwisks.01.99000134,Sample-Routine,Water,Surface Water,1990-01-10,14:20:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06879100,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000128,Sample-Routine,Water,Groundwater,1990-01-10,12:15:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-384153090440401,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001046,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05578500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001046,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05578500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000190,Sample-Routine,Water,Surface Water,1990-01-09,10:52:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12479500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000190,Sample-Routine,Water,Surface Water,1990-01-09,10:52:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12479500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Suspended,60,mg/kg,,Accepted,,Actual,Dry,,,,,,29836,,,,,,,,,,,,,,,,,NWIS
USGS-OK,USGS Oklahoma Water Science Center,nwisok.01.99000336,Sample-Routine,Water,Surface Water,1990-01-09,17:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07195500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000245,Sample-Routine,Water,Surface Water,1990-01-04,11:45:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-05570380,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000245,Sample-Routine,Water,Surface Water,1990-01-04,11:45:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-05570380,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001333,Sample-Routine,Water,Surface Water,1990-01-08,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05440520,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001333,Sample-Routine,Water,Surface Water,1990-01-08,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05440520,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-KS,USGS Kansas Water Science Center,nwisks.01.99000133,Sample-Routine,Water,Surface Water,1990-01-08,09:20:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06889000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001013,Sample-Routine,Water,Surface Water,1990-01-04,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05573540,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001013,Sample-Routine,Water,Surface Water,1990-01-04,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05573540,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000180,Sample-Routine,Water,Surface Water,1990-01-09,10:30:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03604000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.99000339,Sample-Routine,Water,Surface Water,1990-01-10,09:30:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06470875,,,"Stable, low stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000622,Not determined,Water,Groundwater,1990-01-09,13:45:00,EST,,,,,,,,,,,,,USGS-405531078225001,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001137,Sample-Routine,Water,Surface Water,1990-01-09,09:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05593785,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001137,Sample-Routine,Water,Surface Water,1990-01-09,09:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05593785,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000730,Sample-Routine,Water,Surface Water,1990-01-10,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03378000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000730,Sample-Routine,Water,Surface Water,1990-01-10,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03378000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
